video_id_X,date_trending,date_published,date_interval
2kyS6SvSYSE,2017-11-14,2017-11-13,1 days
1ZAPwfrtAFY,2017-11-14,2017-11-13,1 days
5qpjK5DgCt4,2017-11-14,2017-11-12,2 days
puqaWrEC7tY,2017-11-14,2017-11-13,1 days
d380meD0W0M,2017-11-14,2017-11-12,2 days
gHZ1Qz0KiKM,2017-11-14,2017-11-13,1 days
39idVpFF7NQ,2017-11-14,2017-11-12,2 days
nc99ccSXST0,2017-11-14,2017-11-12,2 days
jr9QtXwC9vc,2017-11-14,2017-11-13,1 days
TUmyygCMMGA,2017-11-14,2017-11-13,1 days
9wRQljFNDW8,2017-11-14,2017-11-13,1 days
VifQlJit6A0,2017-11-14,2017-11-13,1 days
5E4ZBSInqUU,2017-11-14,2017-11-13,1 days
GgVmn66oK_A,2017-11-14,2017-11-12,2 days
TaTleo4cOs8,2017-11-14,2017-11-12,2 days
kgaO45SyaO4,2017-11-14,2017-11-13,1 days
ZAQs-ctOqXQ,2017-11-14,2017-11-12,2 days
YVfyYrEmzgM,2017-11-14,2017-11-13,1 days
eNSN6qet1kE,2017-11-14,2017-11-13,1 days
B5HORANmzHw,2017-11-14,2017-11-12,2 days
vU14JY3x81A,2017-11-14,2017-11-13,1 days
6VhU_T463sU,2017-11-14,2017-11-12,2 days
_-aDHxoblr4,2017-11-14,2017-11-13,1 days
JBZTZZAcFTw,2017-11-14,2017-11-12,2 days
lZ68j2J_GOM,2017-11-14,2017-11-13,1 days
dRpNZV18N_g,2017-11-14,2017-11-12,2 days
fcVjitaM3LY,2017-11-14,2017-11-13,1 days
qeWvgZLz9yU,2017-11-14,2017-11-13,1 days
iIxy3JN3-jc,2017-11-14,2017-11-13,1 days
n30k5CwLhS4,2017-11-14,2011-05-29,2361 days
U0hAC8O7RoI,2017-11-14,2017-11-13,1 days
CBVGjS_EJok,2017-11-14,2017-11-06,8 days
n1WpP7iowLc,2017-11-14,2017-11-10,4 days
hz7ukDjuq4w,2017-11-14,2017-11-12,2 days
p2hJxyF7mok,2017-11-14,2017-11-12,2 days
0mlNzVSJrT0,2017-11-14,2017-04-21,207 days
Om_zGhJLZ5U,2017-11-14,2017-11-12,2 days
e_7zHm7GsYc,2017-11-14,2017-11-13,1 days
dQvIbulWCM4,2017-11-14,2017-11-12,2 days
zZ9FciUx6gs,2017-11-14,2017-11-13,1 days
PaJCFHXcWmM,2017-11-14,2017-11-13,1 days
goP4Z5wyOlM,2017-11-14,2017-11-12,2 days
NZFhMSgbKKM,2017-11-14,2017-11-13,1 days
0tO_l_Ed5Rs,2017-11-14,2017-11-11,3 days
STI2fI7sKMo,2017-11-14,2017-11-11,3 days
BWPrk9PUwQE,2017-11-14,2017-11-12,2 days
ogYum4kWXgk,2017-11-14,2017-11-13,1 days
sbcbvuitiTc,2017-11-14,2017-11-10,4 days
zNqCVTs38nU,2017-11-14,2017-11-13,1 days
DM-ni_LSOFE,2017-11-14,2017-11-10,4 days
0PpNlNJ6Nng,2017-11-14,2017-11-11,3 days
c-3JxzN2u34,2017-11-14,2017-11-12,2 days
069D0NmW39o,2017-11-14,2017-11-11,3 days
9t9u_yPEidY,2017-11-14,2017-11-10,4 days
KODzih-pYlU,2017-11-14,2017-11-11,3 days
8NHA23f7LvU,2017-11-14,2017-11-10,4 days
w0XYVssCKjw,2017-11-14,2017-11-11,3 days
9XSULcLI6Hg,2017-11-14,2017-11-12,2 days
pjuPpVLXDQg,2017-11-14,2017-11-13,1 days
9xSx-5tmq44,2017-11-14,2017-11-11,3 days
4v0nOAzcG2A,2017-11-14,2017-11-11,3 days
oTObwUiXdYY,2017-11-14,2017-11-13,1 days
1cgK-BIrXes,2017-11-14,2017-11-10,4 days
ujyTQNNjjDU,2017-11-14,2017-11-10,4 days
PABlVzeldaM,2017-11-14,2017-11-12,2 days
6340tX9M_eM,2017-11-14,2017-11-10,4 days
8mhTWqWlQzU,2017-11-14,2017-11-11,3 days
t4YAyT4ihIQ,2017-11-14,2017-11-10,4 days
MNiweoKXwfg,2017-11-14,2017-11-13,1 days
Jw1Y-zhQURU,2017-11-14,2017-11-10,4 days
2Vv-BfVoq4g,2017-11-14,2017-11-09,5 days
UFYCTJlayS4,2017-11-14,2017-11-11,3 days
cccyOn99s4Y,2017-11-14,2017-11-10,4 days
abGCYPCk294,2017-11-14,2017-11-11,3 days
lY_0mkYDZDU,2017-11-14,2017-11-10,4 days
k8NxqyGcZA4,2017-11-14,2017-11-10,4 days
IE-xepGLVt8,2017-11-14,2017-11-10,4 days
ObIQ0s02UHg,2017-11-14,2017-11-10,4 days
cOc3tsFWoRs,2017-11-14,2017-11-10,4 days
AJYb0Yom5UQ,2017-11-14,2017-10-17,28 days
gLswXiRLdkA,2017-11-14,2017-11-11,3 days
MyEqfBkzESU,2017-11-14,2017-11-10,4 days
wJYE0sFOteE,2017-11-14,2017-11-10,4 days
L_5_slz4ke4,2017-11-14,2017-11-12,2 days
OKoL852K9uA,2017-11-14,2017-11-11,3 days
pa_oUisZZy0,2017-11-14,2017-11-11,3 days
fNtLIcyjsnI,2017-11-14,2017-11-09,5 days
_Iz83-Cmt6A,2017-11-14,2017-11-09,5 days
YlvCVbfS9M0,2017-11-14,2017-11-11,3 days
arJ5h2TY3I4,2017-11-14,2017-11-10,4 days
-2RVw2_QyxQ,2017-11-14,2017-11-12,2 days
gEHCXl4J9Qo,2017-11-14,2017-11-10,4 days
#NAME?,2017-11-14,2017-11-12,2 days
b4vTZx_AtHk,2017-11-14,2017-11-09,5 days
kOnQocd799Y,2017-11-14,2017-11-09,5 days
e4FApt6z55c,2017-11-14,2017-11-10,4 days
2XK4omx9uMU,2017-11-14,2017-11-10,4 days
xfmipNU4Odc,2017-11-14,2017-11-10,4 days
jp9hK-jY6yY,2017-11-14,2017-11-09,5 days
RkHuWjiR-LM,2017-11-14,2017-11-10,4 days
fCTKDn3Q8xQ,2017-11-14,2017-11-09,5 days
DIU3xPdhCBI,2017-11-14,2017-11-09,5 days
wnwF1FHybDQ,2017-11-14,2017-11-10,4 days
9oFP-pOMNwE,2017-11-14,2017-11-09,5 days
pz95u3UVpaM,2017-11-14,2017-11-10,4 days
g5c1bk8weaQ,2017-11-14,2017-11-10,4 days
yuBqWcSKrCk,2017-11-14,2017-11-10,4 days
x9mh-SwSKas,2017-11-14,2017-11-10,4 days
uiA4B5Y63IQ,2017-11-14,2017-11-09,5 days
viyRD5z6ilQ,2017-11-14,2017-11-10,4 days
QFfEtKvXMAs,2017-11-14,2017-11-10,4 days
xg9ebVTL9yE,2017-11-14,2017-11-10,4 days
fbHbTBP_u7U,2017-11-14,2017-11-09,5 days
Ja_GMU7-sjs,2017-11-14,2017-11-09,5 days
QOksZ8VogRw,2017-11-14,2017-11-09,5 days
RYs08kX3Ih4,2017-11-14,2017-11-10,4 days
tOFkFZbPdnQ,2017-11-14,2017-11-09,5 days
dW4wpGg64pE,2017-11-14,2017-11-09,5 days
2VP846QcA_4,2017-11-14,2017-11-09,5 days
_dhneCO4YEE,2017-11-14,2017-11-09,5 days
EYkEshCOhEU,2017-11-14,2017-11-10,4 days
Rq9-mW6HgQE,2017-11-14,2017-11-09,5 days
k29YnfttqEU,2017-11-14,2017-11-09,5 days
Eg_kW5fw6qU,2017-11-14,2017-11-09,5 days
J_QGZspO4gg,2017-11-14,2017-11-09,5 days
PkRBTF6nt4E,2017-11-14,2017-11-10,4 days
ozkqm2ifMw8,2017-11-14,2017-11-10,4 days
htvR_dBs3eg,2017-11-14,2017-11-10,4 days
qEEtzzi1EII,2017-11-14,2017-11-09,5 days
1Wk8ZRgXQnY,2017-11-14,2017-11-09,5 days
8l_e6bx8UG8,2017-11-14,2017-11-08,6 days
lsfzA7sWlOM,2017-11-14,2017-11-09,5 days
RQDphL2MVlM,2017-11-14,2017-11-10,4 days
X7flefV8tec,2017-11-14,2017-11-09,5 days
cYw-oyJ7AEY,2017-11-14,2017-11-10,4 days
6nJw-jPQYVI,2017-11-14,2015-05-21,908 days
5x1FAiIq_pQ,2017-11-14,2017-11-09,5 days
LMCuKltaY3M,2017-11-14,2017-11-10,4 days
6Detw08jRhs,2017-11-14,2017-11-09,5 days
vd4zwINEcLY,2017-11-14,2011-03-27,2424 days
7fm7mll2qvg,2017-11-14,2017-11-10,4 days
5gFpcEKayz4,2017-11-14,2017-11-09,5 days
eHIY3HNNqzM,2017-11-14,2017-11-10,4 days
q-WipZ9p0wk,2017-11-14,2017-11-09,5 days
zy0b9e40tK8,2017-11-14,2017-11-09,5 days
rL4WkebTT_U,2017-11-14,2017-11-09,5 days
Y6eKxjMA9ek,2017-11-14,2017-11-09,5 days
Q6Usd3_fbq8,2017-11-14,2017-11-10,4 days
44NYFvhXmW8,2017-11-14,2017-11-08,6 days
9wg3v-01yKQ,2017-11-14,2017-11-08,6 days
F-j_6IuaYfw,2017-11-14,2017-11-08,6 days
_qSW96a2aKY,2017-11-14,2017-11-08,6 days
afgvlR9WmIQ,2017-11-14,2017-11-09,5 days
_CJN_ryETIY,2017-11-14,2017-11-09,5 days
P4YJwy_T9pM,2017-11-14,2017-11-09,5 days
YqH4eWR7jDQ,2017-11-14,2012-06-10,1983 days
r96KpNTcog4,2017-11-14,2017-11-09,5 days
B4gXsobd_ao,2017-11-14,2017-11-09,5 days
x8eLIJAM58M,2017-11-14,2017-11-08,6 days
6V_aZsATDsM,2017-11-14,2017-11-09,5 days
qg0GdM60syI,2017-11-14,2017-03-31,228 days
8j_BYfVEyhA,2017-11-14,2017-11-08,6 days
9ymjcSvEyhk,2017-11-14,2017-11-09,5 days
oB3SAI2oCqk,2017-11-14,2017-11-09,5 days
HNa_UWX51_s,2017-11-14,2017-11-09,5 days
08nkwgZIE4I,2017-11-14,2017-11-08,6 days
5Smb3tZD1Qc,2017-11-14,2017-11-08,6 days
YHDbsyyjld0,2017-11-14,2017-11-09,5 days
uyl6WtHEYOQ,2017-11-14,2017-11-10,4 days
bhoFXkVy8JA,2017-11-14,2017-10-13,32 days
_w58R1OGQFA,2017-11-14,2017-11-09,5 days
BEweWXa5Twk,2017-11-14,2017-11-09,5 days
egXr0PU-kCY,2017-11-14,2017-11-08,6 days
fIQ2Ty2OL34,2017-11-14,2017-11-10,4 days
d_j512i2k6c,2017-11-14,2017-11-08,6 days
4d07RXYLsJE,2017-11-14,2017-11-04,10 days
DOIw62TXYkg,2017-11-14,2017-11-07,7 days
0lbJHqAGpbA,2017-11-14,2017-11-09,5 days
JuP1Z8xpRb8,2017-11-14,2017-11-09,5 days
CR9zYgr84QY,2017-11-14,2017-11-09,5 days
1640fZpYBSY,2017-11-14,2017-11-07,7 days
M2-IpsWQUWs,2017-11-14,2017-11-09,5 days
7m630xvAJtA,2017-11-14,2017-11-09,5 days
510KQ_LXGww,2017-11-14,2017-11-08,6 days
CO9dIyNM_9Q,2017-11-14,2017-11-07,7 days
hX643KbiI4s,2017-11-14,2017-11-08,6 days
mwpHSMv1pI4,2017-11-14,2017-11-09,5 days
Mfiim71QdYQ,2017-11-14,2017-11-08,6 days
UFPSIa1cLRQ,2017-11-14,2017-11-09,5 days
o78x918zbFk,2017-11-14,2017-11-08,6 days
iNf6VErGDLI,2017-11-14,2017-11-08,6 days
6ixU_vdE0Es,2017-11-14,2017-11-08,6 days
wRGldR_SQAA,2017-11-14,2017-11-09,5 days
agKDPntMv-E,2017-11-14,2017-11-08,6 days
Xl38SuxyrgM,2017-11-14,2017-11-09,5 days
u7pV4vxD1bs,2017-11-14,2017-11-08,6 days
zYWt2mnalP8,2017-11-14,2017-11-08,6 days
PoNWU2cox9w,2017-11-14,2017-11-08,6 days
6hTzM1BPdU8,2017-11-14,2017-11-08,6 days
MCW5HUkrr-o,2017-11-14,2017-11-08,6 days
YvfYK0EEhK4,2017-11-15,2017-11-14,1 days
cxMvzK2OQTw,2017-11-15,2017-11-14,1 days
bAkEd8r7Nnw,2017-11-15,2017-11-14,1 days
ItYOdWRo0JY,2017-11-15,2017-11-14,1 days
5530I_pYjbo,2017-11-15,2017-11-14,1 days
dUMH6DVYskc,2017-11-15,2017-11-14,1 days
gjXrm2Q-te4,2017-11-15,2017-11-14,1 days
9SK1I0V6U5c,2017-11-15,2017-11-14,1 days
VsYmwBOYfW8,2017-11-15,2017-11-14,1 days
kgaO45SyaO4,2017-11-15,2017-11-13,2 days
CtBca6H6Teg,2017-11-15,2017-11-14,1 days
pcWKpGzhgq4,2017-11-15,2017-11-14,1 days
L3br0klRqF4,2017-11-15,2017-11-14,1 days
9kF9xY74h-E,2017-11-15,2017-11-14,1 days
p2EY93WfBQk,2017-11-15,2017-11-14,1 days
xL_qpDkF5A8,2017-11-15,2017-11-15,0 days
eQVhAN7-IAw,2017-11-15,2017-11-15,0 days
2kyS6SvSYSE,2017-11-15,2017-11-13,2 days
Y9nDagqKL7Q,2017-11-15,2017-11-13,2 days
DbJ2s_g1oDc,2017-11-15,2017-11-13,2 days
KJ12FVmumeA,2017-11-15,2017-11-14,1 days
1ZAPwfrtAFY,2017-11-15,2017-11-13,2 days
qDAxDcjgn-8,2017-11-15,2017-11-14,1 days
gHZ1Qz0KiKM,2017-11-15,2017-11-13,2 days
815lSYphlbw,2017-11-15,2017-11-14,1 days
jr9QtXwC9vc,2017-11-15,2017-11-13,2 days
E_86MEdNsAI,2017-11-15,2017-11-14,1 days
Cr9oGxr0Qa0,2017-11-15,2017-11-14,1 days
g0K5QoEj7FQ,2017-11-15,2017-11-14,1 days
l4bAoNAx2uo,2017-11-15,2017-11-13,2 days
TSqwDQHE1J8,2017-11-15,2017-11-14,1 days
puqaWrEC7tY,2017-11-15,2017-11-13,2 days
YVfyYrEmzgM,2017-11-15,2017-11-13,2 days
MltuW2kcREI,2017-11-15,2017-11-14,1 days
5E4ZBSInqUU,2017-11-15,2017-11-13,2 days
jGiqc3HSxEg,2017-11-15,2017-11-13,2 days
XrDlDj9DfZs,2017-11-15,2017-11-14,1 days
vU14JY3x81A,2017-11-15,2017-11-13,2 days
5qpjK5DgCt4,2017-11-15,2017-11-12,3 days
Z3OZyb2iWqQ,2017-11-15,2017-11-14,1 days
Hq89wYzOjfs,2017-11-15,2017-11-14,1 days
vZzIS17HexE,2017-11-15,2017-11-15,0 days
TUmyygCMMGA,2017-11-15,2017-11-13,2 days
lZ68j2J_GOM,2017-11-15,2017-11-13,2 days
yZGSIpcAfEo,2017-11-15,2017-11-14,1 days
zZ9FciUx6gs,2017-11-15,2017-11-13,2 days
zxUwbflE1SY,2017-11-15,2017-11-13,2 days
d380meD0W0M,2017-11-15,2017-11-12,3 days
7oRdswHqaf8,2017-11-15,2017-11-14,1 days
oTObwUiXdYY,2017-11-15,2017-11-13,2 days
qC0I5PEhkJo,2017-11-15,2010-01-14,2862 days
VifQlJit6A0,2017-11-15,2017-11-13,2 days
PaJCFHXcWmM,2017-11-15,2017-11-13,2 days
0zk2SwmCpss,2017-11-15,2017-11-14,1 days
SGVbdo2CkgI,2017-11-15,2017-11-14,1 days
nc99ccSXST0,2017-11-15,2017-11-12,3 days
NfLVVJOuY5M,2017-11-15,2017-11-14,1 days
F388-6yDDpc,2017-11-15,2017-11-13,2 days
KhdecX0qjNA,2017-11-15,2017-11-13,2 days
iIxy3JN3-jc,2017-11-15,2017-11-13,2 days
kWIzjMWmuYk,2017-11-15,2017-11-14,1 days
symdi5KSJts,2017-11-15,2017-11-14,1 days
_-aDHxoblr4,2017-11-15,2017-11-13,2 days
eNSN6qet1kE,2017-11-15,2017-11-13,2 days
39idVpFF7NQ,2017-11-15,2017-11-12,3 days
U0hAC8O7RoI,2017-11-15,2017-11-13,2 days
5hEJsoDP2q4,2017-11-15,2017-11-14,1 days
NZFhMSgbKKM,2017-11-15,2017-11-13,2 days
lBHPVE3AI6Y,2017-11-15,2017-11-13,2 days
e_7zHm7GsYc,2017-11-15,2017-11-13,2 days
TaTleo4cOs8,2017-11-15,2017-11-12,3 days
GgVmn66oK_A,2017-11-15,2017-11-12,3 days
ogYum4kWXgk,2017-11-15,2017-11-13,2 days
kIUHDwn51y8,2017-11-15,2017-11-13,2 days
Lz7dya576HY,2017-11-15,2017-11-13,2 days
zNqCVTs38nU,2017-11-15,2017-11-13,2 days
ZAQs-ctOqXQ,2017-11-15,2017-11-12,3 days
fcVjitaM3LY,2017-11-15,2017-11-13,2 days
kqmhCaF5_44,2017-11-15,2017-11-14,1 days
B5HORANmzHw,2017-11-15,2017-11-12,3 days
6VhU_T463sU,2017-11-15,2017-11-12,3 days
JBZTZZAcFTw,2017-11-15,2017-11-12,3 days
eAyxMv4IBH8,2017-11-15,2017-11-12,3 days
qeWvgZLz9yU,2017-11-15,2017-11-13,2 days
EJu_wPGFTw0,2017-11-15,2017-11-14,1 days
MKLlDnUqho4,2017-11-15,2017-11-14,1 days
wwZ-T_WQ03A,2017-11-15,2017-11-12,3 days
9XSULcLI6Hg,2017-11-15,2017-11-12,3 days
hz7ukDjuq4w,2017-11-15,2017-11-12,3 days
p2hJxyF7mok,2017-11-15,2017-11-12,3 days
CBVGjS_EJok,2017-11-15,2017-11-06,9 days
i-LCORFB860,2017-11-15,2017-11-13,2 days
dRpNZV18N_g,2017-11-15,2017-11-12,3 days
vWYyZMH_QjA,2017-11-15,2017-11-13,2 days
MNiweoKXwfg,2017-11-15,2017-11-13,2 days
VJlSq6h0LNg,2017-11-15,2017-11-13,2 days
ijJPFowBsBc,2017-11-15,2017-11-12,3 days
HBS9783c0BI,2017-11-15,2017-11-14,1 days
n1WpP7iowLc,2017-11-15,2017-11-10,5 days
PABlVzeldaM,2017-11-15,2017-11-12,3 days
JwboxqDylgg,2017-11-15,2017-11-13,2 days
dQvIbulWCM4,2017-11-15,2017-11-12,3 days
pjuPpVLXDQg,2017-11-15,2017-11-13,2 days
0mlNzVSJrT0,2017-11-15,2017-04-21,208 days
n30k5CwLhS4,2017-11-15,2011-05-29,2362 days
0tO_l_Ed5Rs,2017-11-15,2017-11-11,4 days
BWPrk9PUwQE,2017-11-15,2017-11-12,3 days
1WDj0DddCcM,2017-11-15,2017-11-13,2 days
bqgVB6Vl-lI,2017-11-15,2017-11-11,4 days
STI2fI7sKMo,2017-11-15,2017-11-11,4 days
9t9u_yPEidY,2017-11-15,2017-11-10,5 days
0PpNlNJ6Nng,2017-11-15,2017-11-11,4 days
sbcbvuitiTc,2017-11-15,2017-11-10,5 days
ZhSk8mPSWCg,2017-11-15,2017-11-13,2 days
DM-ni_LSOFE,2017-11-15,2017-11-10,5 days
069D0NmW39o,2017-11-15,2017-11-11,4 days
c-3JxzN2u34,2017-11-15,2017-11-12,3 days
qooQd8AA7_M,2017-11-15,2017-11-12,3 days
9KIP-Ncp2jU,2017-11-15,2017-11-11,4 days
KODzih-pYlU,2017-11-15,2017-11-11,4 days
w0XYVssCKjw,2017-11-15,2017-11-11,4 days
9xSx-5tmq44,2017-11-15,2017-11-11,4 days
1cgK-BIrXes,2017-11-15,2017-11-10,5 days
ujyTQNNjjDU,2017-11-15,2017-11-10,5 days
4v0nOAzcG2A,2017-11-15,2017-11-11,4 days
8mhTWqWlQzU,2017-11-15,2017-11-11,4 days
6340tX9M_eM,2017-11-15,2017-11-10,5 days
t4YAyT4ihIQ,2017-11-15,2017-11-10,5 days
L_5_slz4ke4,2017-11-15,2017-11-12,3 days
Jw1Y-zhQURU,2017-11-15,2017-11-10,5 days
_Iz83-Cmt6A,2017-11-15,2017-11-09,6 days
lY_0mkYDZDU,2017-11-15,2017-11-10,5 days
ObIQ0s02UHg,2017-11-15,2017-11-10,5 days
AJYb0Yom5UQ,2017-11-15,2017-10-17,29 days
k8NxqyGcZA4,2017-11-15,2017-11-10,5 days
gLswXiRLdkA,2017-11-15,2017-11-11,4 days
2Vv-BfVoq4g,2017-11-15,2017-11-09,6 days
i4YQRLQVixM,2017-11-15,2017-11-10,5 days
YlvCVbfS9M0,2017-11-15,2017-11-11,4 days
MyEqfBkzESU,2017-11-15,2017-11-10,5 days
Fyyua5JzD9w,2017-11-15,2017-11-10,5 days
pa_oUisZZy0,2017-11-15,2017-11-11,4 days
cccyOn99s4Y,2017-11-15,2017-11-10,5 days
9Th4qTv-4jE,2017-11-15,2017-11-13,2 days
arJ5h2TY3I4,2017-11-15,2017-11-10,5 days
UFYCTJlayS4,2017-11-15,2017-11-11,4 days
-2RVw2_QyxQ,2017-11-15,2017-11-12,3 days
e4FApt6z55c,2017-11-15,2017-11-10,5 days
uTH--XRCGxM,2017-11-15,2017-11-10,5 days
2XK4omx9uMU,2017-11-15,2017-11-10,5 days
gEHCXl4J9Qo,2017-11-15,2017-11-10,5 days
RkHuWjiR-LM,2017-11-15,2017-11-10,5 days
#NAME?,2017-11-15,2017-11-12,3 days
xfmipNU4Odc,2017-11-15,2017-11-10,5 days
fNtLIcyjsnI,2017-11-15,2017-11-09,6 days
abGCYPCk294,2017-11-15,2017-11-11,4 days
OKoL852K9uA,2017-11-15,2017-11-11,4 days
b4vTZx_AtHk,2017-11-15,2017-11-09,6 days
kOnQocd799Y,2017-11-15,2017-11-09,6 days
wJYE0sFOteE,2017-11-15,2017-11-10,5 days
jp9hK-jY6yY,2017-11-15,2017-11-09,6 days
DIU3xPdhCBI,2017-11-15,2017-11-09,6 days
viyRD5z6ilQ,2017-11-15,2017-11-10,5 days
QFfEtKvXMAs,2017-11-15,2017-11-10,5 days
x9mh-SwSKas,2017-11-15,2017-11-10,5 days
g5c1bk8weaQ,2017-11-15,2017-11-10,5 days
fCTKDn3Q8xQ,2017-11-15,2017-11-09,6 days
xg9ebVTL9yE,2017-11-15,2017-11-10,5 days
fbHbTBP_u7U,2017-11-15,2017-11-09,6 days
uiA4B5Y63IQ,2017-11-15,2017-11-09,6 days
QOksZ8VogRw,2017-11-15,2017-11-09,6 days
Ja_GMU7-sjs,2017-11-15,2017-11-09,6 days
9oFP-pOMNwE,2017-11-15,2017-11-09,6 days
ttf_EzEkxBk,2017-11-15,2017-11-08,7 days
Eg_kW5fw6qU,2017-11-15,2017-11-09,6 days
_dhneCO4YEE,2017-11-15,2017-11-09,6 days
J_QGZspO4gg,2017-11-15,2017-11-09,6 days
ozkqm2ifMw8,2017-11-15,2017-11-10,5 days
RYs08kX3Ih4,2017-11-15,2017-11-10,5 days
PkRBTF6nt4E,2017-11-15,2017-11-10,5 days
Rq9-mW6HgQE,2017-11-15,2017-11-09,6 days
LMCuKltaY3M,2017-11-15,2017-11-10,5 days
